"key";"tweet_id";"tweet_text";"user_id";"date";"is_rtw";"rtw_user_id";"rtw_tweet_id";"is_reply";"reply_tweet_id";"reply_user_id";"lang";"geolocation";"place";"topic"
"668300";"664454486933401600";"RT @XFactor_Italia: Domani a farvi saltare in piedi sul divano arrivano @giorgiomoroder e i @5SOS! #XF9 https://t.co/CDQmnDOYXz https://t.c";"2647843248";"Wed Nov 11 15:47:49 CET 2015";"1";"135112407";"664451193297440768";"0";"-1";"-1";"it";\N;\N;"xf9"
"668291";"664454485612171266";"RT @XFactor_Italia: Domani a farvi saltare in piedi sul divano arrivano @giorgiomoroder e i @5SOS! #XF9 https://t.co/CDQmnDOYXz https://t.c";"2647829923";"Wed Nov 11 15:47:48 CET 2015";"1";"135112407";"664451193297440768";"0";"-1";"-1";"it";\N;\N;"xf9"
"668290";"664454461188911105";"RT @SkyUno: Stasera grandi performance a #XF9! Come sempre: ATTACCA!  https://t.co/JzNu7nkJaK";"3034686311";"Wed Nov 11 15:47:43 CET 2015";"1";"587275129";"659698527057125376";"0";"-1";"-1";"it";\N;\N;"xf9"
"668289";"664454457091080193";"RT @XFactor_Italia: Ci distraiamo un po' e ci ritroviamo in pi di 700mila! Grazie a voi che ci seguite, supportate e sopportate! #XF9 http";"2747350355";"Wed Nov 11 15:47:42 CET 2015";"1";"135112407";"664417428009455616";"0";"-1";"-1";"it";\N;\N;"xf9"
"668288";"664454408240013312";"RT @irishplectrum: I nostri giudici preferiti @Fedez @mikasounds @XFactor_Italia #XF9 un regalo dalla Valle d'Aosta fatto da mio pap https";"2392701030";"Wed Nov 11 15:47:30 CET 2015";"1";"628406169";"662544308587896832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668287";"664454370843566081";"RT @Fedez: Eccoci!! #XF9 https://t.co/JuGQZKrYTJ";"3034686311";"Wed Nov 11 15:47:21 CET 2015";"1";"267138741";"659824016920862720";"0";"-1";"-1";"it";\N;\N;"xf9"
"668286";"664454343861649408";"RT @XFactor_Italia: Cosa canteranno i Gruppi? Una cosa  certa, vi faranno alzare dal divano! https://t.co/oxoNzjCnIq #XF9 https://t.co/0iv";"518735358";"Wed Nov 11 15:47:15 CET 2015";"1";"135112407";"663747985289949185";"0";"-1";"-1";"it";\N;\N;"xf9"
"668285";"664454327575191552";"RT @Fedez: Belli belli in modo assurdo  #XF9 https://t.co/VO3ZKPEoRF";"3034686311";"Wed Nov 11 15:47:11 CET 2015";"1";"267138741";"659848099570049025";"0";"-1";"-1";"it";\N;\N;"xf9"
"668284";"664454311905202176";"RT @iPantellas: Quando la prof. manca il giorno della verifica. @Fedez #XF9 https://t.co/aLghTc6mo9";"3034686311";"Wed Nov 11 15:47:07 CET 2015";"1";"97185399";"659862452025315328";"0";"-1";"-1";"it";\N;\N;"xf9"
"668283";"664454228606349314";"RT @GiuliaTroncon: La reazione di @maramaionchi al ""Siete la perfetta sintesi tra Caos e Meditazione"" di @Fedez  #XF9 https://t.co/hRr3sx";"3034686311";"Wed Nov 11 15:46:47 CET 2015";"1";"2361748013";"659889671971958784";"0";"-1";"-1";"it";\N;\N;"xf9"
"668281";"664454185061076993";"Can't wait for @5SOS to come to #XF9 !! Hope they give them pizza... They should sing pizza!! And end up saying random Italian words";"3052684061";"Wed Nov 11 15:46:37 CET 2015";"0";"0";"0";"0";"-1";"-1";"en";\N;\N;"xf9"
"668282";"664454186080337920";"RT @XFactor_Italia: Siete daccordo? #XF9 https://t.co/dvfSaU5HOK";"2312494223";"Wed Nov 11 15:46:37 CET 2015";"1";"135112407";"662380278862774272";"0";"-1";"-1";"it";\N;\N;"xf9"
"668280";"664453994706812928";"RT @XFactor_Italia: Domani guardate #XF9 con la vostra ragazza (o il vostro ragazzo), ma non siate troppo gelosi!  https://t.co/xYUQbLXAdl";"785059254";"Wed Nov 11 15:45:51 CET 2015";"1";"135112407";"664444616658296832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668279";"664453930680733696";"RT @XFactor_Italia: Domani a farvi saltare in piedi sul divano arrivano @giorgiomoroder e i @5SOS! #XF9 https://t.co/CDQmnDOYXz https://t.c";"122061226";"Wed Nov 11 15:45:36 CET 2015";"1";"135112407";"664451193297440768";"0";"-1";"-1";"it";\N;\N;"xf9"
